Name,Street Address,Type,Reviews,No of Reviews,Comments,Price_Range,State,ZipCode,City,weighted_ratings
Carmine's Italian Restaurant - Atlantic City,2801 Pacific Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,1762,"Great dinner experience but pompous manager experience afterwards. Went for dinner on a Tuesday, when departing from our hotel on Thursday we realized we may have left our credit card behind. Before heading home, we decided to stop by to retrieve it. Upon arrival we...More",$$ - $$$,NJ,08401-6347,Atlantic City,7929.0
San Matteo Pizza Espresso Bar,1739 2nd Ave," Italian, Pizza, Vegetarian Friendly",4.5,370,"I love San Matteo. We've eaten there maybe 4 times now and taken friends. The thin crust Italian based pizza reminds us of Franco Manca (for the Brits reading this). Delicious and slightly charcoalled in places.
The ravioli with vodka sauce is a must try,...More",$$ - $$$,NY,10128-3502,New York City,1665.0
Twigs Bistro and Martini Bar,1321 N Columbia Center Blvd," American, Bar, Vegetarian Friendly",4.0,267,"I had a lunch meeting here last week while driving down Washington.  They are known for their martinis so we ordered a round - they do not disappoint.  It’s located at the mall, but doesn’t feel like it. Which is good. 
The happy hour menu...More",$$ - $$$,WA,99336-2455,Kennewick,1068.0
Orale Mexican Kitchen,341 Grove St," Mexican, Central American, Southwestern",4.5,167,We had a dinner and most of us were vegetarian. There were several options and food quantity and service was great.,$$ - $$$,NJ,07302-2988,Jersey City,751.5
J P Clarkes,947 McLean Ave, Pub,4.5,23,"Great Local Bar and Restaurant in Yonkers, great food with a nice atmosphere, truly a local place to go for a bite to eat.",$$ - $$$,NY,10704-4107,Yonkers,103.5
Park Wayne Diner,721 Hamburg Tpke," American, Diner, Vegetarian Friendly",4.0,91,"Used to be good, but has gone waaaay downhill. They lost their liquor license... but it still says “bar” on the sign and the menu lists “spiked shakes.”
At dinner tonight:
Avocados in my salad were hard and completely unripe. 
Rolls seemed “day old” at...More",$$ - $$$,NJ,07470-2016,Wayne,364.0
Morton's The Steakhouse,1895 S Harbor Blvd," American, Steakhouse, Gluten Free Options",4.0,685,,$$$$,CA,92802,Anaheim,2740.0
Cornells In Little Italy,39 North Jay Street," Italian, Vegetarian Friendly, Gluten Free Options",4.0,284,"Caught up with some friends for a mid week dinner after hearing secondhand about the restaurant. Drinks to start were good. Salads were okay. All four entrees were disappointing, perhaps because we all anticipated better. Service was acceptable.",$$ - $$$,NY,12305,Schenectady,1136.0
Chez Panisse,1517 Shattuck Ave," French, American, Vegetarian Friendly",4.5,1443,,$$$$,CA,94709-1516,Berkeley,6493.5
Mangia-Mangia,16709 Goldenwest St," Italian, Vegetarian Friendly",4.5,87,,$$ - $$$,CA,92647-4417,Huntington Beach,391.5
Mersea Restaurant,699 Avenue of the Palms," American, Bar, Vegetarian Friendly",5.0,235,,$$ - $$$,CA,94130,San Francisco,1175.0
Diamondback's,217 Mary Ave," American, Steakhouse, Gluten Free Options",4.0,228,"Located in downtown Waco, this restaurant is great. Upscale. Excellent service and excellent food. The Caesa Sakad was crisp and flavorful. The steak cooked to perfection. And the popovers warm and delicious. We just couldn’t pass on dessert!  Chocolate and decadent!  Our waiter was wonderful...More",$$$$,TX,76701-2233,Waco,912.0
Pismo's Coastal Grill,7937 N Blackstone Ave," American, Bar, Seafood",4.5,840,,$$ - $$$,CA,93720-4310,Fresno,3780.0
Danny's Restaurant,4320 McPherson Ave," Mexican, Vegetarian Friendly",4.0,59,"The diversity of plates, make it convenient, specially for large groups, average prices and food quality, but great service at this location",$$ - $$$,TX,78041-5262,Laredo,236.0
Matthew's Italian Restaurant,1131 Bloomfield Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,221,Delicious dinner with 8 family members.  Everyone loved their food.  From the bread on the table to appetizers to dinner to dessert.  So yummy.  Met Mathew he was so nice and gave us the history of the place.  We will definitely be back.,$$ - $$$,NJ,07012-2305,Clifton,994.5
State Line Restaurant,1222 Sunland Park Dr," American, Barbecue, Gluten Free Options",4.0,570,I am a big fan of barbeque sausage and State Line has some of the best. The beans are delicious and the service is excellent.,$$ - $$$,TX,79922-2408,El Paso,2280.0
Loi Estiatorio,132 W 58th St," Mediterranean, Greek, Seafood",4.5,535,"It looked promising, the chef came up to our table, but sadly enough the food wasn't any good. It was bland (we had the lasagna and the mussels) and the lasagna was very dry. There was no sauce in the lasagna at all. 10 mussels...More",$$ - $$$,NY,10019-2135,New York City,2407.5
Toast Bakery Cafe,8221 W 3rd St," Cafe, American, Vegetarian Friendly",4.5,384,,$$ - $$$,CA,90048-4302,Los Angeles,1728.0
Basilico,507 Capitol Way S # A," Italian, Asian, Vegan Options",4.5,215,Absolutely fabulous food! And their Creme Brûlée is better then I’ve had in Paris. Their pasta with white sauce was sooo good.,$$$$,WA,98501-1206,Olympia,967.5
Southie,6311 College Ave," American, Vegetarian Friendly",4.5,53,,$$ - $$$,CA,94618-1331,Oakland,238.5
Senza,333 Atlantic City Blvd," Italian, Vegetarian Friendly",4.5,69,We have been going to Senza for the past year since we moved into the area.  This restaurant was recommended to us by many of the locals and they were all right!  We are never disappointed with anything we have ordered on the menu and...More,$$ - $$$,NJ,08721-1262,Bayville,310.5
Skylarks Hidden Cafe,1308 11th St Ste B," American, Bar, Cafe",4.0,483,"Excellent clam chowder, great atmosphere, great service, highly recommended!  The brazilian cheese puffs were incredible!",$$ - $$$,WA,98225-7081,Bellingham,1932.0
15 Church Restaurant,15 Church St," American, Vegetarian Friendly, Vegan Options",4.5,821,"My husband and I absolutely love the food, the atmosphere and the staff! The food is hands down the BEST that we have ever had! We highly recommend.",$$$$,NY,12866-2108,Saratoga Springs,3694.5
The Red Fern,283 Oxford St," American, Vegetarian Friendly, Vegan Options",4.5,124,This was my first time here and I was very impressed with the menu. I have a severe dairy allergy and to be able to chose any item on a menu was a great experience. I want to thank the owners of this lovely little...More,$$ - $$$,NY,14607-2749,Rochester,558.0
Prince Lebanese Grill,502 W Randol Mill Rd," Lebanese, Mediterranean, Middle Eastern",4.5,213,"If you like steak salad, I would recommend the Lebanese Salad with Mashwi Shish Beef. Very low carb with lots of diced cucumbers and tomatoes. A truly healthy and tasty option. This would have been a 5-star review except for the pita bread. It wasn’t...More",$$ - $$$,TX,76011-5784,Arlington,958.5
Clancy's by the Sea,1244 Boardwalk," American, Seafood, Vegetarian Friendly",3.5,390,Not bad but also not the best. Great spot for the price just not the best food I have had on the boardwalk.,$$ - $$$,NJ,08226-3241,Ocean City,1365.0
Seven Hills,1896 Hyde St," Seafood, Italian, Vegetarian Friendly",4.5,923,,$$$$,CA,94109-3114,San Francisco,4153.5
Fresno Fleming's Prime Steakhouse & Wine Bar,639 E Shaw Ave," American, Gluten Free Options",4.5,257,,$$$$,CA,93710-7729,Fresno,1156.5
Blackbeard's On The Beach,3117 E Surfside Blvd," American, Bar, Seafood",4.0,972,Not the most glamours of venues inside - we were sat in the end of the restaurant that looked like it might have been an old kitchen as it was all tiled whereas the other end of the restaurant was more like a beach bar...More,$$ - $$$,TX,78402-1123,Corpus Christi,3888.0
Stone Korean Restaurant,16857 Redmond Way," Asian, Korean",4.5,60,"I have never eaten Korean food before, so was entised too try it by a friend.  While I had no idea what anything was from the Korean names on the menu, it was all good.  Portions were large and served very hot.  Tea had a...More",$$ - $$$,WA,98052-4449,Redmond,270.0
Canali's Restaurant,126 Mariaville Rd," Italian, Vegetarian Friendly, Vegan Options",4.5,342,"We were  a party of 10... We had a reservation and were immediately seated... The enviroment was pleasantly decorated and we were able to speak around our table with relative ease. Everyone ordered a different entree and every serving was GIANT! Noone went home hungry,...More",$$ - $$$,NY,12306-1429,Schenectady,1539.0
Tandoori Nites,8102 Kelley Dr Ste B," Indian, Vegetarian Friendly",4.5,23,,$$ - $$$,CA,95209-2172,Stockton,103.5
Black & Blue Steak & Crab,3349 Monroe Ave," American, Steakhouse, Seafood",4.0,497,"Average, but just average.  For the $120 price tag for two, there are several other restaurants in Rochester that offer more.

First of all, both the service and the kitchen were slow - incredibly so.  They were moderately busy for a Tuesday evening but not...More",$$$$,NY,14618-5513,Rochester,1988.0
The Appian Way,1839 Van Vranken Ave," Italian, Vegetarian Friendly",4.5,50,You can feel history as you walk a few steps on this early Roman roadway. The soldiers used this as early travel. It is a marvel that it has been preserved throughout the centuries. Some hop on hop offs will take you here. We asked...More,$$ - $$$,NY,12308-1633,Schenectady,225.0
Vons 1000 Spirits,1225 1st Ave," American, Vegetarian Friendly, Vegan Options",4.5,823,"The menu offers a vast choice of meal : burger, fish, etc 

I went for the pizza. I was a bit disappointed as the pizza was served on a grill which make the it difficult to eat. There was too much oil in the pizza...More",$$ - $$$,WA,98101-2998,Seattle,3703.5
feast buffet,485 Renton Center Way SW," Chinese, Seafood, Sushi",4.0,125,My coworkers and I decided to come here for a work lunch after a recommendation from a friend and we were NOT disappointed! We went for lunch during the week and the food was amazing. The place was not super busy so we were able...More,$$ - $$$,WA,98057-2355,Renton,500.0
Tequila Museo Mayahuel,1200 K St," Mexican, Latin, Vegetarian Friendly",4.0,222,,$$ - $$$,CA,95814-3950,Sacramento,888.0
Orlando's Italian Restaurant,6951 Indiana Ave," Italian, Pizza, Vegetarian Friendly",4.5,588,"I'm not much for Italian food so I can't speak to that but I am a burger fan and I have eaten a lot of burgers in Lubbock and have been sorely disappointed until I came here and had there Over the Border Burger. Wow,...More",$$ - $$$,TX,79413-6111,Lubbock,2646.0
Ah' Pizz,7 N Willow St," Italian, Pizza, Vegetarian Friendly",4.0,124,"We had a party of 12 for dinner, the food was amazing. The service was great and we all enjoyed everything",$$ - $$$,NJ,07042-3590,Montclair,496.0
Boston's Restaurant & Sports Bar,14004 E Indiana Ave," American, Bar, Pizza",4.0,66,Have always liked this place but our last visit was a disappointment. The portions have become smaller and the prices have risen. We had dinner there and the quinoa that was part of my dinner was loaded with terriyaki sauce and tasted terrible. I couldn't...More,$$ - $$$,WA,99216-1451,Spokane,264.0
Amore Ristorante,140 Rifle Camp Rd," Italian, Vegetarian Friendly, Vegan Options",4.5,88,"The most warn and welcoming environment, Excellent customer service, The  food was delicious and authentic.If you enjoy great Italian food with wonderful hospitality then this is the place for you.",$$ - $$$,NJ,07424-3305,Woodland Park,396.0
Pacific Cafe,7000 Geary Blvd," American, Seafood, Gluten Free Options",4.5,241,,$$ - $$$,CA,94121-1623,San Francisco,1084.5
Istanbul Grill,6204 S Cooper St," Mediterranean, Turkish, Middle Eastern",4.5,343,"We were a group of 4 couples who went for dinner on a Saturday evening. Each of us ordered a different entree and each entree was excellent  in taste, presentation, and portion size. I ordered Hunkar Begendi which is Pureed eggplant topped w/ baked cuts...More",$$ - $$$,TX,76001-5700,Arlington,1543.5
Jungsik,2 Harrison St," Asian, Korean, Gluten Free Options",4.5,272,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More",$$$$,NY,10013-2810,New York City,1224.0
Bahama Breeze,2000 Route 38," Bar, Bahamian, Jamaican",4.0,225,best drinks and best HH food as well as the best servers and the most interesting customers. Nice servers and good food and good drink specials,$$ - $$$,NJ,08002-2100,Cherry Hill,900.0
Mesob Ethiopian Restaurant,515 Bloomfield Ave," Ethiopian, African, Vegetarian Friendly",4.5,223,"This is a terrific restaurant by all measures.  Beautiful, classy in style. Very friendly service. From appetizer, entree through dessert. Excellent food with generous portions. A unique and wonderful experience. Appropriate for couples, friends, families. Remember it is BYOB.",$$ - $$$,NJ,07042-3442,Montclair,1003.5
Padre Pizzeria & Gourment,14993 S Padre Island Dr," Italian, Pizza, Vegetarian Friendly",4.0,183,"We phoned in our order and went and picked it up. The pizza was hot and ready when we got there and they gave us plates, napkins and cheese. We enjoyed the pizza very much.  We would eat this pizza again.",$$ - $$$,TX,78418-6225,Corpus Christi,732.0
Jason's Deli,7406 SW 34th Ave Unit 1," American, Deli, Soups",4.5,76,"We visited for lunch - the wait staff were all prompt, friendly and eager to help if you needed anything.  The Gumbo was just spicy enough - The baked potato was the largest potato I have ever seen and being from Washington/Idaho that says alot....More",$$ - $$$,TX,79121-1436,Amarillo,342.0
The Cub Room,739 S.Clinton Ave," American, Bar, Vegetarian Friendly",4.5,159,"My friend and I came here for drinks. We each enjoyed two cocktails, which were made to perfection. The bartender, Tony, was super friendly and accommodating - he chatted with us about the different cocktails and gave recommendations. It was a quieter night at the...More",$$ - $$$,NY,14620,Rochester,715.5
The Original Pancake House,1756 S Pacific Coast Hwy," American, Vegetarian Friendly",4.5,165,,$$ - $$$,CA,90277-5902,Redondo Beach,742.5
Park Avenue Pub & Restaurant,650 Park Ave," American, International, Pub",4.5,163,"The park ave pub is one of our favorite places for a delicious and relaxing dinner. Scott and Joel are always so gracious and sincere. While there is a cute little bar there’s no tv, darts or jukebox. Just a cozy and comfortable place for...More",$$ - $$$,NY,14607-2943,Rochester,733.5
Piatti,2182 Avenida de La Playa," Italian, Vegetarian Friendly, Vegan Options",4.5,838,,$$ - $$$,CA,92037-3214,"La Jolla, San Diego",3771.0
The Winery Restaurant & Wine Bar,2647 Park Ave," Steakhouse, American, Contemporary",4.5,188,,$$$$,CA,92782-2707,Tustin,846.0
Black Bear Diner,24600 Katy Fwy Ste 900," American, Diner, Vegetarian Friendly",4.0,73,"On the positive side the place was clean and had a nice decor.  On the down side the food was average at best.  Had breakfast. The eggs were fine.  The sausage was so so. However, I ordered the hash browns which are supposedly a specialty...More",$$ - $$$,TX,77494-7819,Katy,292.0
Liberty House Restaurant,76 Audrey Zapp Dr," American, Vegetarian Friendly, Vegan Options",4.0,414,I’ve always heard of flan. It honestly sounded unappetizing at first word. But don’t knock I til you try. Delicious,$$$$,NJ,07305-4127,Jersey City,1656.0
Bette's Oceanview Diner,1807 4th St," American, Diner, Deli",4.5,453,,$$ - $$$,CA,94710-1910,Berkeley,2038.5
Zara's Mediterranean Kitchen,415 Rayford Rd," Lebanese, Mediterranean, Middle Eastern",4.5,54,"I enjoyed several lunches here so I have a good idea of their various dishes and service.  Each dish is freshly prepared with quality ingredients.  The spices are just right, and each recipe is tasty.  The hummus is some of the best I have ever...More",$$ - $$$,TX,77386-3549,Spring,243.0
La Foret Restaurant,21747 Bertram Rd," French, European, Vegetarian Friendly",4.5,276,,$$$$,CA,95120-4329,San Jose,1242.0
The San Franciscan,2520 Sepulveda Blvd," American, Steakhouse, Bar",4.5,254,,$$ - $$$,CA,90505-3014,Torrance,1143.0
Daniel,60 East 65th Street," French, Vegetarian Friendly, Vegan Options",4.5,3274,"Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food  is amazing.",$$$$,NY,10065-7056,New York City,14733.0
Edison Diner,101 US Highway 1," American, Diner, Vegetarian Friendly",4.0,220,"You name it: Breakfast, Lunch or dinner. The selection it is great.

The appetizers and desserts too

No small wonder NJ is known for its diners.",$$ - $$$,NJ,08817-5040,Edison,880.0
Rock and Rye Oyster House,1145 N State St," American, Bar, Seafood",4.5,140,"Friends and I went there a lot in the early years. It evolved to overpriced, mediocre (but OK) cuisine, and stuffy staff. Now never. Every now and again we stop in to see if it has changed. Nope. As of Feb 15, 2020 still overpriced...More",$$ - $$$,WA,98225-5013,Bellingham,630.0
Chelsea Farms Oyster Bar,222 Capitol Way N," American, Seafood, Gluten Free Options",4.5,93,"Had Valentine’s Day dinner here. Very fixed menu, which was fine, but disappointed. We shared some local oysters then moved on to dinner. I had the $10 green goddess wedge salad with fried shallots and the $18 charcuterie plate, while my husband ordered the clam...More",$$ - $$$,WA,98501-8211,Olympia,418.5
Rusty Moose,9105 W Highway 2," American, Bar, Vegetarian Friendly",4.0,723,"I had the chance to stop in and check out the Rusty Moose just before a flight out of Spokane Airport. It was a Sunday and I was there for lunch. The Rusty Moose reminded me of the log cabins, cottage life,  and country homes...More",$$ - $$$,WA,99224,Spokane,2892.0
Casa Enrique,548 49th Ave," Mexican, Latin, Vegetarian Friendly",4.5,258,"We had dinner at Casa Enrique: home of the best mexican food in the Big Apple and the only Mexican earning a Michelin Star.

The food was absolutely delicious an super good prepared. We highly recommend a visit to this place.

We will go again...More",$$ - $$$,NY,11101-5611,Long Island City,1161.0
Opa Gyros and Crepes,944C Boardwalk," Mediterranean, Greek, Vegetarian Friendly",4.5,145,There is a Greek place with outdoor seating on the boardwalk in Ocean City. Their Gyro was wonderful. Service was good. What more can you ask for on a nice summer afternoon.,$,NJ,08226-3537,Ocean City,652.5
The Original Pancake House,3177 Plaza way," American, Vegetarian Friendly, Vegan Options",4.0,36,"Busy, but were seated fairly quickly and immediately attended to. Extensive menu and the waiter made it easy to change it up and add options. Food arrived timely, hot, and delicious! Would definitely eat there again.",$$ - $$$,WA,99338-2718,Kennewick,144.0
Pappasito's Cantina,321 Road To Six Flags St W," Mexican, Southwestern, Vegetarian Friendly",4.5,517,had a great time with my grandson and Hubby. we ordered a margarita and it was good. my hubby and i shared a meal and it was more than enough. Great service as well.,$$ - $$$,TX,76011-4737,Arlington,2326.5
Platia Greek Kouzina,2995 Preston Rd," Mediterranean, Greek, Vegetarian Friendly",4.5,433,Great food.  Usually Greek salad with gyro meat to go!  The food is fresh and plentiful and the service is top notch!,$$ - $$$,TX,75034-0602,Frisco,1948.5
El Canton Firewood Pizzeria,981 S Mason Rd.," Pizza, Italian, Vegetarian Friendly",4.5,42,Loved the pizza!!! Definitely try the Margarita and Luna!!!  Service was great and everyone had a great time!  Price was very reasonable for taking the family!,$$ - $$$,TX,77450,Katy,189.0
Whiskey Tavern,79 Baxter St," American, Bar, Pub",4.5,173,"Awesome little pub hidden away in Chinatown. Great service, busy place with bustling atmosphere. Had a lot of fun and left stuffed!",$$ - $$$,NY,10013-4462,New York City,778.5
P F Chang's,Alderwood Mall," Chinese, Asian, Gluten Free Options",4.0,49,Came here to meet a friend and I was pleased with how it went - very friendly bartender who made sure I was aware of the happy hour specials and he made a great Mai-Tai. We made our way to the restaurant and had some...More,$$ - $$$,WA,WA,Lynnwood,196.0
Schatzi's Pub and Bier Garden,202 Main St," German, Bar, American",4.0,120,"Let’s start with the atmosphere - very west coast brewing vibes. Right away the selections were captivating. The names of the drinks were catchy and quiet laughable. The dedication to the other local breweries was a very nice touch. Specifically, I’d like to mention our...More",$$ - $$$,NY,12601-6734,Poughkeepsie,480.0
Johnny's,433 State St," Italian, American, Vegetarian Friendly",4.5,661,Wonderful family atmosphere! Great food and plentiful portions. The piccata sauce is simply the best hands down. Geat selection of food and beverages!,$$ - $$$,NY,12305-2322,Schenectady,2974.5
Vidalia Restaurant,21 Phillips Ave," Italian, International, Vegetarian Friendly",4.5,346,"We had my mothers 80th Birthday celebration with 45 people on a wonderful Sunday afternoon on February 2nd. We continue to get calls from guests how wonderful the ambiance, food and service were. It was perfecto! Couldn’t imagine a better party for my mother.",$$ - $$$,NJ,08648-1072,Lawrenceville,1557.0
Bennie's Bread & Italian Market,1159 Asbury Ave," Pizza, Italian, Vegetarian Friendly",4.5,189,The breads and to go food items are very good. Breakfast sandwiches are good on the rolls or bagels. The soups and pizza are very good too.,$$ - $$$,NJ,08226-3331,Ocean City,850.5
Xian Famous Food,4128 Main St Bsmt 36," Chinese, Fast Food, Asian",4.0,87,"If you have an appetite for spicy food and noddles, this is the best place in Flushing. The narrow shaped restaurant can be filled up quickly, even with 30+ seats. Get your order placed and picked up from the counter, you will see people coming...More",$,NY,11355-3177,Flushing,348.0
Wood Ranch BBQ & Grill,8022 E Santa Ana Canyon Rd," American, Barbecue, Bar",4.5,158,,$$ - $$$,CA,92808-1108,Anaheim,711.0
Glass Woods Tavern,2 Albany St, American,4.0,52,"This restaurant is located within the Hyatt in downtown New Brunswick. Easiest parking is within the Hyatt deck, but you do need to pay. Have been several times for dinner and the restaurant has been pretty slow. Service is excellent, and I would highly recommend...More",$$ - $$$,NJ,08901-1236,New Brunswick,208.0
Ganesh Temple Canteen,4557 Bowne St," Indian, Asian, Vegetarian Friendly",4.5,38,"Best Indian food, can only recommend. Very very friendly people in the temple, beautiful place to visit as such as well. Cheap and authentic Indian food from a specific region.",$,NY,11355-2202,Flushing,171.0
Tricky Fish,1251 State St," American, Bar, Seafood",4.5,68,"Went there to meet an old friend on his suggestion.  He knew exactly what he wanted as he's frequented the place.  His Oyster Po Boy looked fantastic.  Because I didn't read the menu fully, I messed up my Blackened Cod sandwich.  Fish was still good,...More",$$ - $$$,TX,75082-2136,Richardson,306.0
Wisconsinburger,916 S Hatch St," American, Bar, Vegetarian Friendly",4.5,212,I love Wisconsin cheddar cheese and the Green Bay Packers so had to give this place a try while in the area. I ordered a simple cheddar cheese burger with carmelized onions and fries. When served I thought my order had been mistakenly put in...More,$$ - $$$,WA,99202-2500,Spokane,954.0
The Modern,9 W 53rd St," Contemporary, American, Vegetarian Friendly",4.5,2071,Kind of embarrassing that a 2 Michelin star chef gave someone with a gluten allergy breadcrumbs.. The first waiter assured me it was gluten free. After I had already eaten some a different waiter took it away and brought me the gluten free version.. The...More,$$$$,NY,10019-5401,New York City,9319.5
Sunset Pizza & Pasta,16711 Pacific Ave," Italian, Pizza, Vegetarian Friendly",4.5,75,,$$ - $$$,CA,90742,Huntington Beach,337.5
Babe's Chicken Dinner House,6475 Page Rd, American,4.5,1047,"This place is such fun! The entire restaurant is filled with unique decor, the staff is super friendly, and best of all, the fried chicken is super. Fried chicken, mashed potatoes, biscuits, white gravy, creamed corn, green beans, and sweet tea. Who could ask for...More",$$ - $$$,TX,75034-3486,Frisco,4711.5
Roots Cafe & Restaurant,3495 US Highway 1," Japanese, Sushi, Asian",4.0,77,we had a wonderful dinner here last Friday night - we sat in the backroom near the fireplace which was perfect on a rainy December night.  we were not in a hurry and the wait staff definitely worked at our pace - letting us enjoy...More,$$ - $$$,NJ,08540-5933,Princeton,308.0
SwitcHouse Plates & Pours,1200 Lake Plaza Dr," Bar, Pub, Vegetarian Friendly",5.0,45,"Daniel and Amy were friendly, knowledgeable, and fantastic bartenders. Definitely recommend a visit to this hotel  and bar.",$$ - $$$,TX,77389-1862,Spring,225.0
Texas Roadhouse,2815 La Salle Ave," American, Steakhouse, Gluten Free Options",4.5,226,"My husband & I stopped in for dinner. We have been to this location several times and it has been hit & miss. Tonight was awesome. Our server, Brody, made it a great night. He was professional, personable, & attentive.  The food was fabulous. I...More",$$ - $$$,TX,76706-3845,Waco,1017.0
Nelsons Cafe,2298 River Rd," American, Cafe, Diner",5.0,41,"Small hometown restaurant wirh great food and service. Serving breakfast, lunch and Friday dinners. Everything is made from scratch. The Omelettes and pancakes are the best.Very clean and friendly.",$,NY,14304-3712,Niagara Falls,205.0
Frankie Feds,831 State Route 33," Italian, Pizza, Vegetarian Friendly",4.0,84,"If you’re looking for a fancy restaurant, this isn’t the place. If you’re looking for excellent hike cooked food, come here! We had New England clam chowder, white pizza and chicken picatta. The bill came out to $59! Great food, great prices, local vibe. Can’t...More",$$ - $$$,NJ,07728-8431,Freehold,336.0
Ella Dining Room & Bar,1131 K St," American, Vegetarian Friendly, Vegan Options",4.5,464,,$$$$,CA,95814-3904,Sacramento,2088.0
Open Sesame,5215 E 2nd St," Lebanese, Middle Eastern, International",4.5,436,,$$ - $$$,CA,90803-5316,Long Beach,1962.0
"Diana of Little Chef, Little Kitchen",Not Specified," Dine With a Local Chef, Italian, American",5.0,105,This restaurant was recommended by our host in NY...and I'm glad we went...Diana is just fantastic and food was prepared with such care. Tasty and plenty. Will come back again when in NY.,$$ - $$$,NY,NY,New York City,525.0
Pollos Asados Los Nortenos,4642 Rigsby Ave," Mexican, Latin, Spanish",4.5,884,"We decided to give this place a try based on the reviews and were not disappointed!  The fajitas and half chicken were perfectly seasoned and the fresh guacamole was so good.  It's small and unpretentious with fast, efficient service.  Will definitely be back the next...More",$,TX,78222-1266,San Antonio,3978.0
The Fish Peddler on Foss Waterway,1199 Dock St," American, Seafood, Bar",4.5,222,"Reading from the reviews, many people have enjoyed this restaurant and I am not writing to say that they are wrong.  I can see how one could have a great experience here.  However, our experience was not great.  Service was friendly but inattentive.  This mattered...More",$$ - $$$,WA,98402-5004,Tacoma,999.0
Bistango Martini Lounge,108 N Post St," Bar, American",5.0,111,Celebrated recovery of lost luggage. Followed TA reviews to this martini bar early evening. Friendly staff but short handed. Atmosphere convivial but austere. Burgers ok but condiments limited.More,$$ - $$$,WA,99201-0907,Spokane,555.0
Harbor House Cafe,16341 Pacific Coast Hwy," American, Cafe, Diner",4.0,157,,$$ - $$$,CA,92649-1821,Huntington Beach,628.0
Landry's Seafood House,600 N Shoreline Blvd," American, Seafood, Vegetarian Friendly",4.0,700,"nice and kind people, but food is so-so. good sightseeing but little bit windy so if you feel cold easily, prepare some clothes.",$$ - $$$,TX,78401,Corpus Christi,2800.0
Kenny's Wood Fired Grill,5000 Belt Line Rd Ste 775," American, Bar, Vegetarian Friendly",4.5,1406,"My first time here but won't be my last! Food was wonderful as was the service (ask for Zach on your next trip here!) was exceptional. Busy place, not huge so unless you're early (or lucky) may be a wait, but it will be worth...More",$$ - $$$,TX,75254-6747,Dallas,6327.0
Mariano's Hacienda,2614 Majesty Dr," Mexican, Southwestern, Vegetarian Friendly",4.5,423,"Second time going out those areas.  We had to make the trip out to get done of their food.  Salsa is great must have, fajitas with sides were all great.  Waitress was really nice and she was helpful with everything we needed that evening.",$$ - $$$,TX,76011-5322,Arlington,1903.5
Union,37 E Union St," Italian, Vegetarian Friendly, Vegan Options",4.5,183,,$$$$,CA,91103-3923,Pasadena,823.5
Blue,1115 Richmond Ter," American, Seafood, Mediterranean",4.5,335,"Text is same as title.   The place is sublime.  Once I was so happy that I had the chef called out from the kitchen, to thank him, and we were BOTH delighted.",$$ - $$$,NY,10310-1108,Staten Island,1507.5
Benihana,21327 Hawthorne Blvd," Japanese, Sushi, Vegetarian Friendly",4.0,128,,$$ - $$$,CA,90503-5602,Torrance,512.0
Chuckanut Lobby Bar,4040 Northwest Ave," Bar, American",4.5,70,Great place to grab a night cap or a nice snack. It's right next to the entrance and has a very friendly and welcoming vibe.,$$ - $$$,WA,98226-9071,Bellingham,315.0
Piccola Cucina Osteria,196 Spring St," Italian, Mediterranean, Neapolitan",4.5,2617,"Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. Our dinner was an all around excellent experience and it’s easy to see...More",$$ - $$$,NY,10012-3621,New York City,11776.5
Lake Effect Diner,3165 Main St," American, Diner, Vegan Options",4.0,392,"Went for lunch, food was good, coffee terrible. Won't return. Atmosphere was nice inside the diner, very retro. However during our travels, we have visited diners and prices were more in line",$$ - $$$,NY,14214-1310,Buffalo,1568.0
Taquitos Ravi Restaurant,2919 San Bernardo Ave," Mexican, Latin, Spanish",4.5,48,Real Méxican tacos. Friendly  people with good service. Great raste and real Mexican salsa. Find also great tortas,$,TX,78040-1811,Laredo,216.0
The Corner,115 Grove St," American, Cafe, Vegetarian Friendly",4.5,51,We were there for breakfast and pleasantly surprised by the interesting menu. All three of us loved our food and even shared! Quick friendly service and didn’t feel rushed even with a line of people out the door.,$$ - $$$,NJ,07042-4021,Montclair,229.5
Kitchen Table Cafe- Salmon Creek,1319 NE 134th St," American, Cafe, Vegetarian Friendly",4.5,219,"I come here 2 times a week and I love it.  Best breakfast and awesome staff. Keep it up. Even when the place is packed, you still feel like you are number one",$$ - $$$,WA,98685-2717,Vancouver,985.5
Lamberti's Ristorante & Wine Bar,7701 N MacArthur Blvd," Italian, Seafood, Northern-Italian",4.5,75,Make sure to get a reservation. We thought eating on the early side at 6 we would not need to. Consequently we ate in the bar area which was still fine.  The ladies had wine and were delighted with the ones recommended. One lady had...More,$$ - $$$,TX,75063-7515,Irving,337.5
Danny's Restaurant,2406 Jacaman Rd, Mexican,4.5,40,"This is a very clean nice place to eat. Great service, friendly and keep your drink full ! I had the grilled chicken sandwich with fries and it was Awesome !! Highly Recommend",$$ - $$$,TX,78041-6196,Laredo,180.0
